,revision_id,article_quality,article_name,country,Data
222,786913202,C,Josiah Tongogara,Zimbabwe,"17,354,000"
223,787854175,Stub,Naison Ndlovu,Zimbabwe,"17,354,000"
224,787854640,Stub,Enos Mdlongwa,Zimbabwe,"17,354,000"
225,788247480,Start,Lindiwe Majele Sibanda,Zimbabwe,"17,354,000"
226,788291899,C,Ndabaningi Sithole,Zimbabwe,"17,354,000"
227,788777043,Stub,Ambrose Mutinhiri,Zimbabwe,"17,354,000"
228,788792548,Start,Judith Todd,Zimbabwe,"17,354,000"
229,789094827,Stub,Andrew Langa,Zimbabwe,"17,354,000"
230,789427326,Start,Christopher Kuruneri,Zimbabwe,"17,354,000"
231,789545114,Stub,Priscilla Misihairabwi-Mushonga,Zimbabwe,"17,354,000"
232,789545179,Stub,Swithun Mombeshora,Zimbabwe,"17,354,000"
233,789545185,Stub,Oppah Muchinguri,Zimbabwe,"17,354,000"
234,789545206,Start,Samuel Mumbengegwi,Zimbabwe,"17,354,000"
235,789545212,Stub,Chris Mushohwe,Zimbabwe,"17,354,000"
236,789545214,Stub,Giles Mutsekwa,Zimbabwe,"17,354,000"
237,789545220,Stub,Francis Nhema,Zimbabwe,"17,354,000"
238,789545233,Stub,Mike Nyambuya,Zimbabwe,"17,354,000"
239,789898624,C,Solomon Mujuru,Zimbabwe,"17,354,000"
240,789948565,Stub,Ronald Penza,Zimbabwe,"17,354,000"
241,789965571,Start,Joseph Made,Zimbabwe,"17,354,000"
242,790034879,Stub,Evelyn Masaiti,Zimbabwe,"17,354,000"
243,790035057,Start,Jessie Majome,Zimbabwe,"17,354,000"
244,790423262,Stub,Theresa Makoni,Zimbabwe,"17,354,000"
245,791068367,Stub,List of Presidents of the Senate of Zimbabwe,Zimbabwe,"17,354,000"
246,791690130,Start,Blessing Chebundo,Zimbabwe,"17,354,000"
247,793738070,Start,George Charamba,Zimbabwe,"17,354,000"
248,793820850,Start,Chenhanho Chimutengwende,Zimbabwe,"17,354,000"
249,794934380,Start,Simon Muzenda,Zimbabwe,"17,354,000"
250,794934451,Start,Witness Mangwende,Zimbabwe,"17,354,000"
251,794934469,C,Nathan Shamuyarira,Zimbabwe,"17,354,000"
252,795007156,Start,Joseph Makamba Busha,Zimbabwe,"17,354,000"
253,795247525,Stub,Walter Chidakwa,Zimbabwe,"17,354,000"
254,795637625,Start,Maxwell Zeb Shumba,Zimbabwe,"17,354,000"
255,795846349,Stub,Henry Madzorera,Zimbabwe,"17,354,000"
256,796477244,Stub,First Lady of Zimbabwe,Zimbabwe,"17,354,000"
257,796608492,Stub,Charles Shanyurai Majange,Zimbabwe,"17,354,000"
258,796726442,Stub,Elleck Mashingaidze,Zimbabwe,"17,354,000"
259,797170378,Start,Phillip Chiyangwa,Zimbabwe,"17,354,000"
260,797225827,C,Chenjerai Hunzvi,Zimbabwe,"17,354,000"
261,797414978,Start,Edward Chindori-Chininga,Zimbabwe,"17,354,000"
262,797932659,C,Arthur Mutambara,Zimbabwe,"17,354,000"
263,798106157,C,Edgar Tekere,Zimbabwe,"17,354,000"
264,798140615,C,Psychology Maziwisa,Zimbabwe,"17,354,000"
265,798248963,Stub,Isaac Matongo,Zimbabwe,"17,354,000"
266,798468363,C,Julia Tukai Zvobgo,Zimbabwe,"17,354,000"
267,799326094,Stub,Jameson Timba,Zimbabwe,"17,354,000"
268,799405378,Stub,Ben Ncube,Zimbabwe,"17,354,000"
269,799406056,Stub,Obedingwa Mguni,Zimbabwe,"17,354,000"
270,799605293,Start,Denis Norman,Zimbabwe,"17,354,000"
271,800407734,Stub,Japhet Ndabeni Ncube,Zimbabwe,"17,354,000"
272,800407872,Stub,Nicholas Mabodoko,Zimbabwe,"17,354,000"
273,800705666,C,Fay Chung,Zimbabwe,"17,354,000"
274,801370822,Stub,Alfred Makwarimba,Zimbabwe,"17,354,000"
275,801488585,Stub,Elphas Mukonoweshuro,Zimbabwe,"17,354,000"
276,801497420,Start,Elton Mangoma,Zimbabwe,"17,354,000"
277,802259324,Start,Edna Madzongwe,Zimbabwe,"17,354,000"
278,803084855,Stub,Fidelis Mhashu,Zimbabwe,"17,354,000"
279,803579259,Start,Promise Mkwananzi,Zimbabwe,"17,354,000"
280,804677245,Start,Saviour Kasukuwere,Zimbabwe,"17,354,000"
281,804678140,Stub,Walter Mzembi,Zimbabwe,"17,354,000"
282,804811059,Start,Kembo Mohadi,Zimbabwe,"17,354,000"
283,804844902,Start,Learnmore Jongwe,Zimbabwe,"17,354,000"
284,804895632,C,Lovemore Madhuku,Zimbabwe,"17,354,000"
285,804914333,Stub,List of Finance Ministers of Zimbabwe,Zimbabwe,"17,354,000"
286,805993308,C,Joice Mujuru,Zimbabwe,"17,354,000"
287,806656210,Start,Ignatious Chombo,Zimbabwe,"17,354,000"
288,806814411,FA,Robert Mugabe,Zimbabwe,"17,354,000"
289,807159774,C,Tichafa Samuel Parirenyatwa,Zimbabwe,"17,354,000"
290,807196681,C,Guy Georgias,Zimbabwe,"17,354,000"
291,807337237,GA,Grace Mugabe,Zimbabwe,"17,354,000"
292,807442408,Start,Guy Clutton-Brock,Zimbabwe,"17,354,000"
293,391862070,Stub,Template:Uganda-politician-stub,Uganda,"40,141,000"
294,444767727,Stub,Template:Uganda-mayor-stub,Uganda,"40,141,000"
295,655390291,Stub,Yosia Nadiope of Busoga,Uganda,"40,141,000"
296,684295893,Stub,Patrick Mutono,Uganda,"40,141,000"
297,689614169,Stub,Stanislaus Okurut,Uganda,"40,141,000"
298,693292931,Start,Charles Oboth Ofumbi,Uganda,"40,141,000"
299,693388584,Start,Pumla Kisosonkole,Uganda,"40,141,000"
300,707473503,Start,Francis K. Butagira,Uganda,"40,141,000"
301,708054598,Stub,Otema Allimadi,Uganda,"40,141,000"
302,713020154,Stub,Omwony Ojwok,Uganda,"40,141,000"
303,715433158,Stub,Jachan Mandir Omach,Uganda,"40,141,000"
304,717146307,Start,Onegi Obel,Uganda,"40,141,000"
305,720059752,Stub,Saleh Kamba,Uganda,"40,141,000"
306,723957779,Stub,John Kabaireho,Uganda,"40,141,000"
307,724554948,Stub,Tete Chelangat,Uganda,"40,141,000"
308,725742962,Start,Sarah Kanyike,Uganda,"40,141,000"
309,726767754,Stub,Gagawala Wambuzi,Uganda,"40,141,000"
310,726918511,Stub,Julius Wandera Maganda,Uganda,"40,141,000"
311,726919678,Stub,Haruna Kasolo Kyeyune,Uganda,"40,141,000"
312,736273855,Stub,Yabezi Kiiza,Uganda,"40,141,000"
313,737799048,Start,Semei Kakungulu,Uganda,"40,141,000"
314,746946728,C,Abu Mayanja,Uganda,"40,141,000"
315,753278613,Start,Daniel Kidega,Uganda,"40,141,000"
316,756457100,Stub,Eng Abner Nangwale,Uganda,"40,141,000"
317,757388522,Start,Yowabu Magada Kawaluuko,Uganda,"40,141,000"
318,757563021,Start,Grace Kwiyucwiny,Uganda,"40,141,000"
319,757615490,Start,Mary Goretti Kitutu,Uganda,"40,141,000"
320,757616921,Start,Rukiya Chekamondo,Uganda,"40,141,000"
321,757617202,Start,Sezi Mbaguta,Uganda,"40,141,000"
322,758395750,Stub,Frederick Ngobi Gume,Uganda,"40,141,000"
323,758567928,Start,Rosemary Seninde,Uganda,"40,141,000"
324,759366517,C,Gerald Ssendaula,Uganda,"40,141,000"
325,759378614,Stub,Juma Oris,Uganda,"40,141,000"
326,759877869,Stub,Godfrey Kiwanda,Uganda,"40,141,000"
327,760056661,Start,Geoffrey Onegi Obel,Uganda,"40,141,000"
328,760181848,Start,Tom Butime,Uganda,"40,141,000"
329,760184747,Start,Dennis Galabuzi Ssozi,Uganda,"40,141,000"
330,763247419,Stub,Ken Lukyamuzi,Uganda,"40,141,000"
331,766481345,C,Victoria Sekitoleko,Uganda,"40,141,000"
332,766665157,Start,Emmanuel Otala,Uganda,"40,141,000"
333,770316807,C,Kabakumba Masiko,Uganda,"40,141,000"
334,771724283,Start,Innocent Oula,Uganda,"40,141,000"
335,773245217,Start,Isaac Mulindwa,Uganda,"40,141,000"
336,773870932,Start,Hope Mwesigye,Uganda,"40,141,000"
337,774683767,Stub,Katikkiro of Buganda,Uganda,"40,141,000"
338,774683907,C,Daudi Cwa II of Buganda,Uganda,"40,141,000"
339,774684052,Start,Ssuuna II of Buganda,Uganda,"40,141,000"
340,774684080,C,Kamaanya of Buganda,Uganda,"40,141,000"
341,774684109,Start,Semakookiro of Buganda,Uganda,"40,141,000"
342,774684124,Start,Jjunju of Buganda,Uganda,"40,141,000"
343,774684195,Stub,Kato Kintu,Uganda,"40,141,000"
